JDayMod,124Langes,1427Bath,241VKLake,398Snow,526Stumpy,554Columbia,683Boston,970Fitzwater
562,-9999,-135,5,18,-65,1,-16,-172
563,-9999,-137,4,18,-65,1,-19,-175
564,-9999,-138,5,18,-66,2,-21,-176
565,-9999,11,9,7,7,7,18,22
566,-9999,22,8,6,-16,5,15,21
567,-9999,-10,6,6,-25,3,13,-2
568,-9999,-54,6,6,-30,0,11,-18
569,-9999,-72,9,10,8,4,17,-1
570,-9999,-81,8,10,3,3,16,1
571,-9999,-89,7,10,-17,1,15,-18
572,-9999,-95,8,9,-26,-1,15,-31
573,-9999,-103,8,10,-32,-1,13,-41
574,-9999,-101,8,12,-28,3,14,-27
575,-9999,-103,8,9,-24,1,12,-17
576,-9999,-109,8,11,-26,-1,11,-28
577,-9999,-117,8,8,-32,-2,10,-40
578,-9999,-122,8,9,-36,0,9,-47
579,-9999,-112,8,9,-32,0,8,-50
580,-9999,-113,8,11,5,3,11,-35
581,-9999,-114,8,10,-10,0,10,-39
582,-9999,-120,8,9,-22,0,8,-53
583,-9999,-123,8,10,-26,-2,6,-61
584,-9999,-121,8,11,-24,-2,8,-63
585,-9999,-123,8,11,-30,-2,5,-67
586,-9999,-113,8,12,-10,-2,9,-73
587,-9999,-118,9,10,-9999,-2,7,-65
588,-9999,-123,9,5,-9999,-3,4,-71
589,-9999,-184,-9999,9,-9999,-3,3,-9999
590,-9999,-184,-9999,10,-9999,-2,-9999,-9999
591,-9999,-183,-9999,11,-9999,0,-9999,-9999
592,-9999,-183,-9999,12,-9999,4,-9999,-9999
593,-9999,-183,-9999,16,-9999,-2,-9999,-9999
692,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6
693,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1
694,-9999,-9999,0,-9999,-9999,-9999,-9999,-6
695,-9999,-9999,0,-9999,-9999,-9999,-9999,-11
696,-9999,-9999,0,-9999,-9999,-9999,-9999,-15
697,-9999,-9999,0,-9999,-9999,-9999,-9999,9
698,-9999,-9999,0,-9999,-9999,-9999,-9999,11
699,-9999,-9999,0,-9999,-9999,-9999,-9999,16
700,-9999,-9999,0,-9999,-9999,-9999,-9999,8
